week,pickup,trip_count,request_count,drop_count,average_miles
Friday,2019-02-01,398980,381181,385680,4.575505438869242
Saturday,2019-02-02,874448,836779,875187,4.433807922255061
Sunday,2019-02-03,840960,808902,842725,4.552724279394881
Monday,2019-02-04,673674,654762,676001,4.881600996921495
Tuesday,2019-02-05,568388,568161,568088,4.809645981266401
Wednesday,2019-02-06,594547,594717,593583,4.764069518473708
Thursday,2019-02-07,674490,674525,674427,4.549368278254666
Friday,2019-02-08,699297,699601,697659,4.757300417419173
Saturday,2019-02-09,852472,853068,850539,4.548896045852436
Sunday,2019-02-10,903519,903525,904350,4.560465026191978
Monday,2019-02-11,642379,641471,645596,4.917006642496167
Tuesday,2019-02-12,620753,621793,619890,4.437194439656392
Wednesday,2019-02-13,677539,676925,675908,4.348509458495954
Thursday,2019-02-14,687703,687664,688015,4.743537340974324
Friday,2019-02-15,748743,749262,747154,4.754531968913041
Saturday,2019-02-16,762836,762160,764333,4.788458659528486
Sunday,2019-02-17,827013,827338,827215,4.62088158227244
Monday,2019-02-18,639725,639032,641652,4.821528125366275
Tuesday,2019-02-19,600735,600599,601336,4.895242228270311
Wednesday,2019-02-20,623526,108898,623428,4.593348681530466
Wednesday,2019-02-20,623526,623955,623428,4.593348681530466
Thursday,2019-02-21,665822,665558,664933,4.451835790947145
Friday,2019-02-22,699018,699443,697362,4.8838766240639195
Saturday,2019-02-23,841325,841647,840274,4.67356566130789
Sunday,2019-02-24,911453,911459,912216,4.612680906201474
Monday,2019-02-25,663209,662686,665360,4.855184594901416
Tuesday,2019-02-26,653194,653144,652874,4.551674892910889
Wednesday,2019-02-27,696503,696824,695139,4.580686256914895
Thursday,2019-02-28,725968,726161,725391,4.666910883124327
Friday,2019-03-01,390883,387862,402787,4.711084774728048
